No errors
No warnings
97 ms
data source=metars
4834 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
ZMCK 160130Z 08005MPS 050V120 CAVOK 20/07 Q1014 NOSIG RMK QFE645.5 43,ZMCK,2025-08-16T01:30:00Z,47.651,106.822,20,7,80,10,,6+,29.94,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1366
WSSS 160130Z 16008KT 9999 FEW016 BKN160 28/25 Q1009 NOSIG,WSSS,2025-08-16T01:30:00Z,1.368,103.982,28,25,160,8,,6+,29.79,,,,,,TRUE,,,,,FEW,1600,BKN,16000,,,,,VFR,,,,,,,,,,,,METAR,17
WARR 160130Z 13005KT 9999 FEW020 28/24 Q1010 NOSIG METAR ,WARR,2025-08-16T01:30:00Z,-7.38,112.787,28,24,130,5,,6+,29.82,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,3
WAKK 160130Z 12010KT 9999 BKN015 29/21 Q1012 NOSIG,WAKK,2025-08-16T01:30:00Z,-8.52,140.417,29,21,120,10,,6+,29.88,,,,,,TRUE,,,,,BKN,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,5
WADD 160130Z 13016KT 9999 SCT015 28/24 Q1012 NOSIG,WADD,2025-08-16T01:30:00Z,-8.748,115.167,28,24,130,16,,6+,29.88,,,,,,TRUE,,,,,SCT,1500,,,,,,,VFR,,,,,,,,,,,,METAR,3
VQPR 160130Z 35003KT 290V100 8000 FEW015 16/14 Q1020,VQPR,2025-08-16T01:30:00Z,27.403,89.425,16,14,350,3,,4.97,30.12,,,,,,,,,,,FEW,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,2227
VOTK 160130Z 27010G20KT 6000 FEW018 28/23 Q1005 NOSIG,VOTK,2025-08-16T01:30:00Z,8.722,78.028,28,23,270,10,20,3.73,29.68,,,,,,TRUE,,,,,FEW,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,25
VOML 160130Z 22003KT 4000 BR FEW004 SCT012 OVC080 24/23 Q1006 NOSIG,VOML,2025-08-16T01:30:00Z,12.961,74.89,24,23,220,3,,2.49,29.70,,,,,,TRUE,,,,BR,FEW,400,SCT,1200,OVC,8000,,,IFR,,,,,,,,,,,,METAR,100
VOMD 160130Z 32007KT 6000 FEW020 SCT100 29/20 Q1005 NOSIG,VOMD,2025-08-16T01:30:00Z,9.835,78.093,29,20,320,7,,3.73,29.68,,,,,,TRUE,,,,,FEW,2000,SCT,10000,,,,,MVFR,,,,,,,,,,,,METAR,135
VOHY 160130Z 27008KT 4000 BR SCT010 SCT015 BKN080 24/21 Q1004 NOSIG,VOHY,2025-08-16T01:30:00Z,17.453,78.468,24,21,270,8,,2.49,29.65,,,,,,TRUE,,,,BR,SCT,1000,SCT,1500,BKN,8000,,,IFR,,,,,,,,,,,,METAR,540
